X,Y,Complain_Number,Time,Day,Main_Street,Second_Street,Quadrant,On_Street,Latitude,Longitude,Type,Injured,Vehicles,Bikes,Fatalities,GeocodeError,FID
-77.06788023,38.92475218,11005133,2012-01-11T14:00:00.000Z,Wed,MASSACHUSETTS AVE,EDMUNDS ST,NW,At Intersect,38.924752,-77.06788,Right Turn Hit Veh.,1,2,1,0,,1
-77.03549348,38.91811413,12000410,2012-01-01T21:37:00.000Z,Sun,V ST,NEW HAMPSHIRE AVE,NW,At Intersect,38.918114,-77.035493,Right Angle,1,2,1,0,,2
-77.01618009,38.89613235,12000457,2012-01-02T00:01:00.000Z,Sun,E ST,FOURTH ST,NW,Not at Inter,38.896132,-77.01618,Side Swiped,0,2,1,0,,3
-77.03270925,38.93134681,12000783,2012-01-02T22:11:00.000Z,Mon,FOURTEENTH ST,MONROE ST,NW,At Intersect,38.931347,-77.032709,Left Turn Hit Ped.,1,2,1,0,,4
-77.04317361,38.92229289,12002603,2012-01-06T01:35:00.000Z,Thu,BILTMORE ST,COLUMBIA RD,NW,At Intersect,38.922293,-77.043174,Left Turn Hit Veh.,1,2,1,0,,5
-76.97622223,38.93409795,12002867,2012-01-07T00:26:00.000Z,Fri,NEWTON ST,TWENTIETH ST,NE,At Intersect,38.934098,-76.976222,WTON ST TWENTIETH ST,1,2,1,0,,6
-77.03195636,38.90020484,12004356,2012-01-09T22:34:00.000Z,Mon,FOURTEENTH ST,H ST,NW,At Intersect,38.900205,-77.031956,Side Swiped,0,2,1,0,,7
-77.01892537,38.91260597,12004362,2012-01-09T22:55:00.000Z,Mon,FIFTH ST,R ST,NW,At Intersect,38.912606,-77.018925,Right Angle,1,2,1,0,,8
-77.02704026,38.92575509,12004366,2012-01-09T23:05:00.000Z,Mon,ELEVENTH ST,GIRARD ST,NW,Within 100ft,38.925755,-77.02704,Side Swiped,1,2,1,0,,9
-77.04346249,38.90020236,12004794,2012-01-10T14:00:00.000Z,Tue,PENNSYLVANIA AVE,NINTEENTH ST,NW,At Intersect,38.900202,-77.043462,Side Swiped,0,2,1,0,,10
-77.02191414,38.90564383,12006825,2012-01-14T16:19:00.000Z,Sat,SEVENTH ST,M ST,NW,At Intersect,38.905644,-77.021914,Right Angle,1,2,1,0,,11
-77.04268424,38.92266111,12007273,2012-01-15T13:46:00.000Z,Sun,EIGHTEENTH ST,COLUMBIA RD,NW,At Intersect,38.922661,-77.042684,Other,1,2,1,0,,12
-77.02191395,38.90416816,12008174,2012-01-17T16:54:00.000Z,Tue,SEVENTH ST,L ST,NW,At Intersect,38.904168,-77.021914,Side Swiped,1,2,1,0,,13
-76.97373128,38.91577464,12008568,2012-01-18T13:04:00.000Z,Wed,T ST,BLADENSBURG RD,NE,Not at Inter,38.915775,-76.973731,Left Turn Hit Veh.,1,2,1,0,,14
-77.02293288,38.89845593,12008607,2012-01-18T14:13:00.000Z,Wed,EIGHTH ST,G ST,NW,At Intersect,38.898456,-77.022933,Right Turn Hit Veh.,1,2,1,0,,15
-77.02704987,38.90394886,12008880,2012-01-19T00:00:00.000Z,Wed,MASSACHUSETTS AVE,ELEVENTH ST,NW,At Intersect,38.903949,-77.02705,Head On,1,2,1,0,,16
-77.06720443,38.91469946,12008998,2012-01-19T03:32:00.000Z,Wed,WISCONSIN AVE,S ST,NW,Within 100ft,38.914699,-77.067204,Side Swiped,1,2,1,0,,17
-76.99313515,38.90400064,12009418,2012-01-20T00:34:00.000Z,Thu,WEST VIRGINIA AVE,FLORIDA AVE,NE,At Intersect,38.904001,-76.993135,Side Swiped,0,2,1,0,,18
-77.02970721,38.92763772,12009812,2012-01-20T19:30:00.000Z,Fri,THIRTEENTH ST,COLUMBIA RD,NW,Within 100ft,38.927638,-77.029707,Side Swiped,0,2,1,0,,19
-77.03274852,38.9302311,12009840,2012-01-20T14:40:00.000Z,Fri,FOURTEENTH ST,KENYON ST,NW,Not at Inter,38.930231,-77.032749,Head On,1,1,1,0,,20
-77.0364945,38.92036401,12010471,2012-01-22T01:57:00.000Z,Sat,BELMONT ST,SIXTEENTH ST,NW,At Intersect,38.920364,-77.036495,Right Angle,2,2,1,0,,21
-76.98538635,38.86590546,12011308,2012-01-21T04:55:00.000Z,Fri,FOURTEENTH ST,U ST,SE,Not at Inter,38.865905,-76.985386,Side Swiped,1,2,1,0,,22
-77.03883944,38.93253211,12013000,2012-01-27T04:18:00.000Z,Thu,PARK RD,MOUNT PLEASANT ST,NW,Within 100ft,38.932532,-77.038839,19,1,2,1,0,,23
-77.00905089,38.9107951,12013193,2012-01-27T17:06:00.000Z,Fri,NORTH CAPITOL ST,FLORIDA AVE,BN,At Intersect,38.910795,-77.009051,Rear End,1,3,1,0,,24
-77.02420496,38.964953,12013279,2012-01-27T21:02:00.000Z,Fri,EIGHTH ST,RITTENHOUSE ST,NW,At Intersect,38.964953,-77.024205,Head On,0,2,1,0,,25
-77.02396275,38.90724421,12014404,2012-01-29T23:05:00.000Z,Sun,NINTH ST,N ST,NW,At Intersect,38.907244,-77.023963,Straight Hit Ped.,1,2,1,0,,26
-77.05141446,38.90252354,12014411,2012-01-29T02:30:00.000Z,Sat,K ST,TWENTY FOURTH ST,NW,At Intersect,38.902524,-77.051414,Other,1,2,1,0,,27
-76.97752339,38.89908603,12014586,2012-01-30T13:41:00.000Z,Mon,EIGHTEENTH ST,BENNING RD,NE,At Intersect,38.899086,-76.977523,Straight Hit Ped.,0,2,1,0,,28
,,12014654,2012-01-30T16:36:00.000Z,Mon,,,NE,,,,,,,,0,1,29
-77.0567674,38.91662221,12015067,2012-01-31T13:00:00.000Z,Tue,MASSACHUSETTS AVE,BELMONT RD,NW,At Intersect,38.916622,-77.056767,Right Angle,1,2,1,0,,30
